context_3,context_2,context_1,response
,,,Моё предложение в силе Сеня
,,Моё предложение в силе Сеня,какое
,Моё предложение в силе Сеня,какое,1 на 1 в общаге мисиса
Моё предложение в силе Сеня,какое,1 на 1 в общаге мисиса,я во вшэ собираюсь
,,,"Меня забанили
До начала соревы
Видимо задел чувства сбера"
,,"Меня забанили
До начала соревы
Видимо задел чувства сбера",Побил рекорд бдимо
,"Меня забанили
До начала соревы
Видимо задел чувства сбера",Побил рекорд бдимо,LESSSSSSGOOOOOOO
,,,Там меня забанили через месяц
,,Там меня забанили через месяц,спорим меня в бдимо не забанят?
,Там меня забанили через месяц,спорим меня в бдимо не забанят?,Так ты гений
Там меня забанили через месяц,спорим меня в бдимо не забанят?,Так ты гений,это ты про мой прошлый учебный год?(8 и 9 класс экстернатом с красным аттестатом)
спорим меня в бдимо не забанят?,Так ты гений,это ты про мой прошлый учебный год?(8 и 9 класс экстернатом с красным аттестатом),да
,,,По заветам великого
,,По заветам великого,"так что сори
("
,По заветам великого,"так что сори
(",Ы
,,,"К Семе, Серёге и Максу получаеца"
,,"К Семе, Серёге и Максу получаеца",да.
,,,"Тебя не забанят
Это я долбоеб
Меня забанят"
,,,сарказм?
,,сарказм?,Сорказм
,,,"Сорк
А что это за пикча в чате?
Презик?"
,,,как там агифа?
,,как там агифа?,"Никак, у Артюхова началась какая-то мания"
,как там агифа?,"Никак, у Артюхова началась какая-то мания",а что он начал делать?
,,,"Привет, а финал уже прошёл?"
,,"Привет, а финал уже прошёл?",да.
,,,Итоги есть?
,,Итоги есть?,"Никита Демерза побед
Дальше не стали считать"
,,,"На самом деле тут много новых участников, думаю лучше так не шутить. Все будут путаться"
,,"На самом деле тут много новых участников, думаю лучше так не шутить. Все будут путаться",Пусть проходят через это
,,,Дефолт история
,,Дефолт история,Это не хорошо)
,,,где флуд во флудилке
,,где флуд во флудилке,100 рублей
,где флуд во флудилке,100 рублей,
,,,Продам админку флудилки
,,Продам админку флудилки,Неееееееет
,,,флудом человека довели
,,флудом человека довели,А тебе правда 16 лет?
,,,"да, а что?)"
,,"да, а что?)",Ты сильный?
,,,zero
,,zero,Это тип зелёное в рулетке
,,,Один на 70
,,Один на 70,Так и побеждают нто
,,,у нас же мало чатов да?!
,,у нас же мало чатов да?!,Как ты на агрохак прошел
,,,много чатов не бывает
,,много чатов не бывает,Странный максимально отбор
,много чатов не бывает,Странный максимально отбор,да хз честно
,,,Понабрали бомжей
,,Понабрали бомжей,ну ты слова то побереги
,Понабрали бомжей,ну ты слова то побереги,Ну смотря на тех кого не взяли тимы
,,,Не в обиду
,,Не в обиду,"сам так и не понял
сам не прошел или как?"
,Не в обиду,"сам так и не понял
сам не прошел или как?",Ну по факту
Не в обиду,"сам так и не понял
сам не прошел или как?",Ну по факту,Это по факту да
"сам так и не понял
сам не прошел или как?",Ну по факту,Это по факту да,"Сам над ним подшучиваю
Да там вообще жесть"
,,,Там короче у него условно говоря методом подбора подбираются действия всех компонентов под каждую ситуацию
,,Там короче у него условно говоря методом подбора подбираются действия всех компонентов под каждую ситуацию,"Ого, никогда такого не было, и вот опять"
,Там короче у него условно говоря методом подбора подбираются действия всех компонентов под каждую ситуацию,"Ого, никогда такого не было, и вот опять",Ещё как было
Там короче у него условно говоря методом подбора подбираются действия всех компонентов под каждую ситуацию,"Ого, никогда такого не было, и вот опять",Ещё как было,"Никит, это известная фраза которая сарказм"
"Ого, никогда такого не было, и вот опять",Ещё как было,"Никит, это известная фраза которая сарказм","Не всегда сарказм, в данном случае именно не сарказм"
Ещё как было,"Никит, это известная фраза которая сарказм","Не всегда сарказм, в данном случае именно не сарказм","В данном случае это не только сарказм, это еще и очень хлесткое ""да не может такого быть"""
"Никит, это известная фраза которая сарказм","Не всегда сарказм, в данном случае именно не сарказм","В данном случае это не только сарказм, это еще и очень хлесткое ""да не может такого быть""","Я хотел наоборот, что это было, да и сильно"
,,,"И он считает, что это agi"
,,"И он считает, что это agi","легенда, в соло сделал ИИ"
,"И он считает, что это agi","легенда, в соло сделал ИИ",?
,,,"Ещё выдал, что люди не делают ничего нового, потому что они пользуются своим старым опытом
И во всех дискуссиях в agirussia не к месту рекламирует свой якобы agi
Цирк короче"
,,,"Чего стоит один его бот, который якобы должен был биржу порвать, тогда он его даже продавать стал за дорого, но в итоге в минусе оказался (я это узнал уже после выхода из его проекта)"
,,"Чего стоит один его бот, который якобы должен был биржу порвать, тогда он его даже продавать стал за дорого, но в итоге в минусе оказался (я это узнал уже после выхода из его проекта)",Ничего себе 😨
,,,Не может быть
,,Не может быть,Да хватит сарказма
,Не может быть,Да хватит сарказма,"Шучу, утверждать ""создал ИИ"" - очень странное заявление"
Не может быть,Да хватит сарказма,"Шучу, утверждать ""создал ИИ"" - очень странное заявление",Xen supervisor?
,,,"Дима, а ты ещё Школьник?"
,,"Дима, а ты ещё Школьник?","Получается, что так"
,,,Привет! Что посоветуете начинающему?)
,,Привет! Что посоветуете начинающему?),буткемп ai-arrow
,Привет! Что посоветуете начинающему?),буткемп ai-arrow,И так по немногу
,,,Профиль иб
,,Профиль иб,Ботай
,,,"В этом году призёра можно было взять, посмотрев одно видео овербафера"
,,"В этом году призёра можно было взять, посмотрев одно видео овербафера",Я умею запускать командную строку на винде - достаточно для призера?
,"В этом году призёра можно было взять, посмотрев одно видео овербафера",Я умею запускать командную строку на винде - достаточно для призера?,Ух ты. Это победа)
,,,"Нет, ты иишнутый"
,,,Если очень постараюсь - powershell открою
,,Если очень постараюсь - powershell открою,познавшие этот мир может даже докер на винде запустят
,Если очень постараюсь - powershell открою,познавшие этот мир может даже докер на винде запустят,А есть проблемы?
Если очень постараюсь - powershell открою,познавшие этот мир может даже докер на винде запустят,А есть проблемы?,Да
,,,У тебя дебафф
,,У тебя дебафф,"Если у меня при запуске цмд автоматом выигрывается нто = побед иб?
Ебка
Но фиксятся изи
В итоге
DLS"
,У тебя дебафф,"Если у меня при запуске цмд автоматом выигрывается нто = побед иб?
Ебка
Но фиксятся изи
В итоге
DLS",DataLsuses
У тебя дебафф,"Если у меня при запуске цмд автоматом выигрывается нто = побед иб?
Ебка
Но фиксятся изи
В итоге
DLS",DataLsuses,Спасибо) посмотрю что это
,,,"О, это видел. Зачетная репа"
,,"О, это видел. Зачетная репа",Да и Соколов крутой мужик
,,,А за месяц реально более менее подготовиться?
,,А за месяц реально более менее подготовиться?,"если часов по 5-6 на dls в день тратить, можно семестр за месяц освоить"
,А за месяц реально более менее подготовиться?,"если часов по 5-6 на dls в день тратить, можно семестр за месяц освоить",Имхо - dls так себе
А за месяц реально более менее подготовиться?,"если часов по 5-6 на dls в день тратить, можно семестр за месяц освоить",Имхо - dls так себе,По nlp у них норм семестр
"если часов по 5-6 на dls в день тратить, можно семестр за месяц освоить",Имхо - dls так себе,По nlp у них норм семестр,"Да не, у лены войты лучше"
,,,За 2 дня можно
,,За 2 дня можно,Даже так
,За 2 дня можно,Даже так,Да
,,,Да но опыт не нафармишь так
,,Да но опыт не нафармишь так,так там домашка пиздатая
,Да но опыт не нафармишь так,так там домашка пиздатая,какой никакой но опыт дает
,,,Итмо
,,Итмо,Столько времени у меня нету
,Итмо,Столько времени у меня нету,-
,,,Шарю но все равно
,,Шарю но все равно,Это не реальный опыт
,,,Но домашки Крутые
,,Но домашки Крутые,Получше ods/а
,Но домашки Крутые,Получше ods/а,У Валентина малых тоже
Но домашки Крутые,Получше ods/а,У Валентина малых тоже,А что за dls?
Получше ods/а,У Валентина малых тоже,А что за dls?,Deep Learning School
У Валентина малых тоже,А что за dls?,Deep Learning School,Спасибо
