context_3,context_2,context_1,response
,,,"Всем привет!) Вопросик, в этом году призовые будут?"
,,"Всем привет!) Вопросик, в этом году призовые будут?","Привет, как и всегда)"
,,,огонь!
,,,"Здраствуйте.
ссылка на флудилку почему-то не действительна"
,,"Здраствуйте.
ссылка на флудилку почему-то не действительна",https://t.me/+RQdYZNq5vtNkNTUy
,,,"спасибо
зашёл... вышел"
,,,"Всем привет. Я что-то не понял или инженерный этап не существует? При переходе на него идёт ссылка на интенсив, о котором, по итогу, нет никакой информации"
,,"Всем привет. Я что-то не понял или инженерный этап не существует? При переходе на него идёт ссылка на интенсив, о котором, по итогу, нет никакой информации","Привет! Профильная задача 1 этапа откроется в середине октября, пока идет подготовка"
,,,"А что подразумевает подготовка? Там написано про буткемп, но вместо теории или заданий там только ссылка на тг и дс"
,,"А что подразумевает подготовка? Там написано про буткемп, но вместо теории или заданий там только ссылка на тг и дс","Привет! 
Регистрация на буткемп и программа по ссылке:
http://ai-arrow-camp.com"
,"А что подразумевает подготовка? Там написано про буткемп, но вместо теории или заданий там только ссылка на тг и дс","Привет! 
Регистрация на буткемп и программа по ссылке:
http://ai-arrow-camp.com",Регистрация есть. А от неё ссылка на ДС и тг. Но в них нет никакой информации про интенсив. А он уже несколько дней идёт
"А что подразумевает подготовка? Там написано про буткемп, но вместо теории или заданий там только ссылка на тг и дс","Привет! 
Регистрация на буткемп и программа по ссылке:
http://ai-arrow-camp.com",Регистрация есть. А от неё ссылка на ДС и тг. Но в них нет никакой информации про интенсив. А он уже несколько дней идёт,"Очень странно.
Сначала идет регистрация на таланте https://talent.kruzhok.org/registration?event=3684&return_url=https%3A%2F%2Ftalent.kruzhok.org%2Fevents%2F3684
А только потом чат https://t.me/+pt1va-GIWTNkNjIy"
,,,"И там нет никаких материалов, хотя буткемп уже начался, судя по всему"
,,,"Тут тоже лежит только организационная информация про то, когда это проходит. Никакого курса и конкретной информации про него нет"
,,"Тут тоже лежит только организационная информация про то, когда это проходит. Никакого курса и конкретной информации про него нет",внимательнее смотри https://stepik.org/course/124175/promo
,,,(это из группы буткемпа)
,,(это из группы буткемпа),Спасибо
,,,А когда 2 этап стартует?
,,А когда 2 этап стартует?,В середине ноября
,,,Перегнали
,,,И вот тут точно есть флудилка)
,,И вот тут точно есть флудилка),Всмысле этот чат флудилка
,,,2 победа этого года зашли в чат
,,,Запомните их
,,Запомните их,Я думаю они даже в финал не выйдут
,Запомните их,Я думаю они даже в финал не выйдут,+++
,,,"о, даже есть эмоции"
,,,Или тут нельзя флудить
,,Или тут нельзя флудить,"В смысле для флуда есть отдельный чат, идите туда"
,Или тут нельзя флудить,"В смысле для флуда есть отдельный чат, идите туда",А кста в треке рил никак не поучаствовать если ты студент прально?
Или тут нельзя флудить,"В смысле для флуда есть отдельный чат, идите туда",А кста в треке рил никак не поучаствовать если ты студент прально?,го со мной 1 на 1
"В смысле для флуда есть отдельный чат, идите туда",А кста в треке рил никак не поучаствовать если ты студент прально?,го со мной 1 на 1,Го 1 на 1 в оьщаге мисиса
,,,"А
Пон"
,,,"Типа можно как-то залогиниться на заочные, но все равно будет очный?"
,,"Типа можно как-то залогиниться на заочные, но все равно будет очный?","Да, перед финалом всех перепроверяют"
,"Типа можно как-то залогиниться на заочные, но все равно будет очный?","Да, перед финалом всех перепроверяют",Это досадно
,,,"кто лучше решит
со ставками"
,,,Иди свою диффузию трень за 25к в месяц
,,Иди свою диффузию трень за 25к в месяц,50 вообще то
,Иди свою диффузию трень за 25к в месяц,50 вообще то,"Вот он, работяга из сбебры"
Иди свою диффузию трень за 25к в месяц,50 вообще то,"Вот он, работяга из сбебры",В точке на 20 часах столько же получаю
50 вообще то,"Вот он, работяга из сбебры",В точке на 20 часах столько же получаю,и это еще не миддл)
,,,"Приезжай
Точка бест"
,,"Приезжай
Точка бест","Зато он кекает со смешных картинок пока работает
А чего добился ты"
,,,Позавчера мне Макс с Лизой опять рекламировали точку
,,Позавчера мне Макс с Лизой опять рекламировали точку,Да
,,,Кто решит хак=финал
,,,зато мой проект запомнят
,,зато мой проект запомнят,Да факт
,,,чуть чуть
,,,пока нда
,,пока нда,Это то о чем я думаю?
,,,Генератор унитазов
,,Генератор унитазов,"всем школьникам привет
остальным сочуствую"
,,,Что за AI-ARROW⁉️⁉️⁉️⁉️⁉️⁉️⁉️⁉️⁉️⁉️⁉️⁉️⁉️⁉️⁉️⁉️⁉️
,,Что за AI-ARROW⁉️⁉️⁉️⁉️⁉️⁉️⁉️⁉️⁉️⁉️⁉️⁉️⁉️⁉️⁉️⁉️⁉️,Флудилка: https://t.me/+RQdYZNq5vtNkNTUy
,,,"кст, а имеющим привелегии от прошлого года на до этот ""инженерный этап"" проходить?"
,,"кст, а имеющим привелегии от прошлого года на до этот ""инженерный этап"" проходить?","так инженерный этап это тупо курсы же, не?"
,"кст, а имеющим привелегии от прошлого года на до этот ""инженерный этап"" проходить?","так инженерный этап это тупо курсы же, не?",за него баллы дают вроде
,,,"а, получается скип"
,,"а, получается скип","Ну,типа якобы по ним же в конце какое-то тестирование будет
Разве нет?"
,"а, получается скип","Ну,типа якобы по ним же в конце какое-то тестирование будет
Разве нет?",мне друг с другого профиля говорил что инженерный этап будет чем то по типу матеши и инфы но хз
"а, получается скип","Ну,типа якобы по ним же в конце какое-то тестирование будет
Разве нет?",мне друг с другого профиля говорил что инженерный этап будет чем то по типу матеши и инфы но хз,мне кажется это должно было быть что то вроде вступительных на aijc
"Ну,типа якобы по ним же в конце какое-то тестирование будет
Разве нет?",мне друг с другого профиля говорил что инженерный этап будет чем то по типу матеши и инфы но хз,мне кажется это должно было быть что то вроде вступительных на aijc,на первом туре
,,,"5.7. Итоговый балл, полученный участником первого отборочного этапа по
профилю Олимпиады, подсчитывается как сумма баллов, набранных
участником во всех олимпиадных состязаниях из перечня олимпиадных
состязаний для данного профиля – предметный и инженерный туры."
,,"5.7. Итоговый балл, полученный участником первого отборочного этапа по
профилю Олимпиады, подсчитывается как сумма баллов, набранных
участником во всех олимпиадных состязаниях из перечня олимпиадных
состязаний для данного профиля – предметный и инженерный туры.",ладно все равно пока нет обяз заданий
,,,"это про чисто финал речь
он будет состоять из 5 задач матеша + 5 задач инфа  = предметный тур
и сама основная ml задача aka инженерный тур"
,,"это про чисто финал речь
он будет состоять из 5 задач матеша + 5 задач инфа  = предметный тур
и сама основная ml задача aka инженерный тур","5. Порядок проведения олимпиадных состязаний первого
отборочного этапа
нет"
,,,а ля слепой
,,а ля слепой,щас забанят)
,,,рекорд бдимо в 13 сек я уже побить не смогу так что ладно
,,рекорд бдимо в 13 сек я уже побить не смогу так что ладно,Рекорд бд*мо по дисквалификации 80% участников никто не побьет
,,,было бы странно делать обязательные туториалы
,,,"Чуваки, а никто не в курсе, команды уже начинают присматривать или этим все во 2 этапе займутся?"
,,"Чуваки, а никто не в курсе, команды уже начинают присматривать или этим все во 2 этапе займутся?",Ближе ко 2 этапу думаю
,,,"Присматривать никто не запрещал, но зафиксировать команду можно только на 2ом этапе"
,,"Присматривать никто не запрещал, но зафиксировать команду можно только на 2ом этапе","Я о том, что если кто-то хочет - можем тиму замутить
Просто не хочу попасть в ситуацию, когда твои тиммейты овощи"
,"Присматривать никто не запрещал, но зафиксировать команду можно только на 2ом этапе","Я о том, что если кто-то хочет - можем тиму замутить
Просто не хочу попасть в ситуацию, когда твои тиммейты овощи",Я уже собрал команду
,,,а сколько чел в команде
,,а сколько чел в команде,3
,а сколько чел в команде,3,"Блин, я с Робототехникой вечно путаю"
,,,Вроде как
,,Вроде как,2
,Вроде как,2,"Или 2, хз"
Вроде как,2,"Или 2, хз","ну напиши о себе чото, а то потенциальному тиммейту тож неизвестно овощ ты или нет"
,,,"Пишу на C++ и Python, шарю за Arduino, люблю доту, но катки вечно сливаю потому что играю редко"
,,"Пишу на C++ и Python, шарю за Arduino, люблю доту, но катки вечно сливаю потому что играю редко",А про ИИ?)
,"Пишу на C++ и Python, шарю за Arduino, люблю доту, но катки вечно сливаю потому что играю редко",А про ИИ?),И - союз.
,,,Че ещё нужно о тмммейте знать ахахах
,,Че ещё нужно о тмммейте знать ахахах,"Бля, ладно, надо будет чуть позже этим вопросом нормально заняться"
,,,"Запятыми обычно не выделяется
Ну ясно, овощ ахахахах"
