context_3,context_2,context_1,response
,,,"Привет
А вы кто"
,,"Привет
А вы кто",привет
,,,так что баним пич лазанью?
,,так что баним пич лазанью?,да
,,,Хз хз
,,,если что пиши
,,если что пиши,
,,,"так не
ты не министр по банам
раньше пич лазанья был
теперь мис химичка"
,,"так не
ты не министр по банам
раньше пич лазанья был
теперь мис химичка",а я кто
,"так не
ты не министр по банам
раньше пич лазанья был
теперь мис химичка",а я кто,ты министр по хуйне
,,,(по расту)
,,(по расту),а я думал по твоим шуткам
,,,"пусть публикует
ебанный жс почему он не работает
мб разбить все по файлам"
,,"пусть публикует
ебанный жс почему он не работает
мб разбить все по файлам","пиши на расте
скомпилишь в васм"
,"пусть публикует
ебанный жс почему он не работает
мб разбить все по файлам","пиши на расте
скомпилишь в васм","натуралы пишут жс
и используют линтеры"
"пусть публикует
ебанный жс почему он не работает
мб разбить все по файлам","пиши на расте
скомпилишь в васм","натуралы пишут жс
и используют линтеры",да!!!!
"пиши на расте
скомпилишь в васм","натуралы пишут жс
и используют линтеры",да!!!!,сделай на three.js
"натуралы пишут жс
и используют линтеры",да!!!!,сделай на three.js,на wgpu
да!!!!,сделай на three.js,на wgpu,чтобы с ргб подсветкой тыры пыры
сделай на three.js,на wgpu,чтобы с ргб подсветкой тыры пыры,"звучит круто
запишу в список идей"
на wgpu,чтобы с ргб подсветкой тыры пыры,"звучит круто
запишу в список идей","я, помнится, для ар на расте хотел писать
кароч, я заглотнул
гайдов нормальных нет
нифига нет
но это было пару месяцев назад"
,,,ар ток есть +- гайды на юнити
,,ар ток есть +- гайды на юнити,так я не хочу юнити
,,,хз что сейчас
,,хз что сейчас,ну и чутка на анриал
,,,ещё одно сообщение на root-me от неизвестного человека
,,ещё одно сообщение на root-me от неизвестного человека,это я пишу
,,,ты ни разу не ответил
,,ты ни разу не ответил,"Пиздец
Пиздец
Пиздец
Что-то мне всё это нравится"
,ты ни разу не ответил,"Пиздец
Пиздец
Пиздец
Что-то мне всё это нравится",уже писали в information security memes
ты ни разу не ответил,"Пиздец
Пиздец
Пиздец
Что-то мне всё это нравится",уже писали в information security memes,"так а за что его
я так и не понял"
"Пиздец
Пиздец
Пиздец
Что-то мне всё это нравится",уже писали в information security memes,"так а за что его
я так и не понял","Я думал это мем какой-то
Зачем за продуктами в магаз?
Ну тип"
уже писали в information security memes,"так а за что его
я так и не понял","Я думал это мем какой-то
Зачем за продуктами в магаз?
Ну тип",лол
,,,сложно
,,сложно,https://ru.wikipedia.org/wiki/%D0%9A%D1%83%D0%B1%D0%B8%D1%82
,сложно,https://ru.wikipedia.org/wiki/%D0%9A%D1%83%D0%B1%D0%B8%D1%82,"спасибо, помер"
сложно,https://ru.wikipedia.org/wiki/%D0%9A%D1%83%D0%B1%D0%B8%D1%82,"спасибо, помер",https://www.youtube.com/watch?v=dYSb3mS6kPc
,,,читай
,,читай,"ты чево скинул
там круги какие-то
сфера блоха"
,читай,"ты чево скинул
там круги какие-то
сфера блоха",я только первый абзац осилил
читай,"ты чево скинул
там круги какие-то
сфера блоха",я только первый абзац осилил,нет блин куб клеща
"ты чево скинул
там круги какие-то
сфера блоха",я только первый абзац осилил,нет блин куб клеща,наполовину
я только первый абзац осилил,нет блин куб клеща,наполовину,"ну посмотри научпоп
какойнибудь"
,,,сцука
,,сцука,я иду резать музыку
,сцука,я иду резать музыку,ну хоть не вены
сцука,я иду резать музыку,ну хоть не вены,сча вены
,,,"почему так
чтоб можно было сушать ауди из твоего спотифая
ток я хз там можно пиздить?"
,,,музыку
,,музыку,нет конечно
,,,норм
,,,только если брать название а саму мп3шку из другого места
