context_3,context_2,context_1,response
,,,"Ооооооо
привет!!!!!!!!"
,,,"Всем привет
Где я"
,,"Всем привет
Где я",
,,,Мы скучали
,,,тебе писал некий шуберт?
,,тебе писал некий шуберт?,кто?
,,,локальный мем
,,локальный мем,"не, он не писал"
,,,"аналог мориарти, только с более низкими навыками шеринга"
,,,"если напишет, то кидай ему фотки хуев, мы так делали"
,,"если напишет, то кидай ему фотки хуев, мы так делали",Ок
,,,Ура
,,,ты себя за многих не выдавай
,,ты себя за многих не выдавай,так я про зазнавшихся
,ты себя за многих не выдавай,так я про зазнавшихся,"ты у нас один такой, брат"
ты себя за многих не выдавай,так я про зазнавшихся,"ты у нас один такой, брат","какой ты мне брат, я хоть что-то решать умею"
так я про зазнавшихся,"ты у нас один такой, брат","какой ты мне брат, я хоть что-то решать умею",Даже так?
,,,ok?
,,,Я опять в родной луже ура
,,Я опять в родной луже ура,Зря ты сюда зашла на самом деле
,Я опять в родной луже ура,Зря ты сюда зашла на самом деле,соскучилась по токсичности?
Я опять в родной луже ура,Зря ты сюда зашла на самом деле,соскучилась по токсичности?,В точку.
,,,мы небожители
,,мы небожители,"Зато теперь вас 69
мне стало немного скучно
Никто не буллит((("
,мы небожители,"Зато теперь вас 69
мне стало немного скучно
Никто не буллит(((","пич, начинай
покажи все, что можешь
все, чему учился эти 2 месяца"
мы небожители,"Зато теперь вас 69
мне стало немного скучно
Никто не буллит(((","пич, начинай
покажи все, что можешь
все, чему учился эти 2 месяца",2 месяца?
"Зато теперь вас 69
мне стало немного скучно
Никто не буллит(((","пич, начинай
покажи все, что можешь
все, чему учился эти 2 месяца",2 месяца?,"ну, случайный срок"
,,,"видимо, в это время я зазнавался максимально"
,,"видимо, в это время я зазнавался максимально",Застанался что въеблся в столб(птк) пока бегал от меня?)
,"видимо, в это время я зазнавался максимально",Застанался что въеблся в столб(птк) пока бегал от меня?),"я не виноват, что всякие шизы просят меня на камеру снимать и им отправлять..."
"видимо, в это время я зазнавался максимально",Застанался что въеблся в столб(птк) пока бегал от меня?),"я не виноват, что всякие шизы просят меня на камеру снимать и им отправлять...","Я химичке репортаж снимал ""в мире животных"""
,,,и кто же ты в нем
,,и кто же ты в нем,Оператор
,и кто же ты в нем,Оператор,Тут у меня столько животных
,,,приезжай снимать
,,приезжай снимать,Я не спасатель
,,,рил питонов миллиард
,,рил питонов миллиард,"Сука, пора банить курсы от скиллбокса и видосы хауди хо"
,рил питонов миллиард,"Сука, пора банить курсы от скиллбокса и видосы хауди хо",королевские кобры тоже есть
рил питонов миллиард,"Сука, пора банить курсы от скиллбокса и видосы хауди хо",королевские кобры тоже есть,"Это типо те, которые ботали на степике?"
"Сука, пора банить курсы от скиллбокса и видосы хауди хо",королевские кобры тоже есть,"Это типо те, которые ботали на степике?","нет, это те питоны, которые умеют стоять"
,,,"кошек меньше
я правда видел только задавленную"
,,,"нет, это те, которые лежат на дороге"
,,"нет, это те, которые лежат на дороге",Шлюхи?
,,,Понял принял обработал осознал записал запомнил
,,Понял принял обработал осознал записал запомнил,"ванешик, ты готов на бдсм в нто пойти в некст году?"
,,,то есть на бдимо
,,то есть на бдимо,Бдсм это название мой команды ксты
,то есть на бдимо,Бдсм это название мой команды ксты,"ну, тут уже есть один человек"
,,,Big Data Small Memory
,,Big Data Small Memory,Бдсм
,,,нужен еще один
,,нужен еще один,У меня вроде уже есть тима
,,,ok
,,,зачем вам бдимо
,,зачем вам бдимо,Фан
,,,+
,,,и мерч
,,и мерч,"Лучше на ИИ идти, там мерч круче"
,и мерч,"Лучше на ИИ идти, там мерч круче",так туда я тоже пойду
,,,в этом году больше всего фана было в реакции людей которые считали себя самыми умными на то что им не дадут призёров потому что они не писали индивидуальный тур
,,в этом году больше всего фана было в реакции людей которые считали себя самыми умными на то что им не дадут призёров потому что они не писали индивидуальный тур,а можно сообщения переслать?
,,,крутые люди
,,крутые люди,"слишком много, и всё в дискорде"
,,,меня просто со всех акков забанили в их чате
,,меня просто со всех акков забанили в их чате,тебе подогнать sms-activate?
,,,а
,,а,там все равно деньги твоей мамы
,а,там все равно деньги твоей мамы,"у тебя своей нет, что ты чужим мамам деньги даешь?"
,,,одна из цитат например
,,одна из цитат например,"нашёл получше
(контекст: они требуют после соревнования чтобы формулу подсчёта баллов поменяли чтобы они стали призёрами, я говорю что те кто из-за такого изменения перестанут быть призёрами скорее всего будут этим недовольны)"
,,,на иб было лучше
,,на иб было лучше,а что не так
,на иб было лучше,а что не так,"Мне говорили туда химия или физика нужна, так что грусть печаль..."
на иб было лучше,а что не так,"Мне говорили туда химия или физика нужна, так что грусть печаль...","Крутой
Капец почему все умные такие"
,,,и еще идешь на финтех. то есть на иб нет?
,,и еще идешь на финтех. то есть на иб нет?,на финтех я не иду...
,и еще идешь на финтех. то есть на иб нет?,на финтех я не иду...,почему
,,,"и человек второй тоже вроде найден
зачем"
,,"и человек второй тоже вроде найден
зачем","а, финтех же не нти больше"
,,,"как устраивать взлом AD я не забуду, не переживай"
,,"как устраивать взлом AD я не забуду, не переживай",к чему ты это написал
,"как устраивать взлом AD я не забуду, не переживай",к чему ты это написал,"к тому, что на иб поучаствую, чел"
,,,Инфа легкая была
,,,жду соточку
,,жду соточку,гандон с сарказмом писал реально на соточку залил
,жду соточку,гандон с сарказмом писал реально на соточку залил,чел на 72 написал и агрится
,,,код активации совпал кстати
,,,ясно дисквал
,,ясно дисквал,ни нада
,,,"Блять
да че за хуйня
почему мне пишут китайцы в тг"
,,"Блять
да че за хуйня
почему мне пишут китайцы в тг",3800iq+
,"Блять
да че за хуйня
почему мне пишут китайцы в тг",3800iq+,и постоянно предлагают вступить в какие-то ИБ организации
,,,первая моя мысль была рейтинг на codeforces
,,первая моя мысль была рейтинг на codeforces,....
,,,"Всм
ты про ИТМО?"
,,,ну а про что ещё
,,ну а про что ещё,Ну я ещё БВИ не подтвердил
,,,"а точно
Инфа же ещё
а то у меня знакомые уже в приёмке сидят"
,,,"Ну молюсь, что тоже получу такую возможность"
,,"Ну молюсь, что тоже получу такую возможность",жиза
,,,на рутми добавили еще кринжереверс...
,,на рутми добавили еще кринжереверс...,"о, платный реверс"
,на рутми добавили еще кринжереверс...,"о, платный реверс","я вот тоже думаю заплатить, чтобы пострадать с флаттером еще раз"
на рутми добавили еще кринжереверс...,"о, платный реверс","я вот тоже думаю заплатить, чтобы пострадать с флаттером еще раз",там же написано в названии что флаг в strings
"о, платный реверс","я вот тоже думаю заплатить, чтобы пострадать с флаттером еще раз",там же написано в названии что флаг в strings,"странно, что его решили спустя два часа после публикации"
"я вот тоже думаю заплатить, чтобы пострадать с флаттером еще раз",там же написано в названии что флаг в strings,"странно, что его решили спустя два часа после публикации",Платный😳😐
там же написано в названии что флаг в strings,"странно, что его решили спустя два часа после публикации",Платный😳😐,Ладно смысла решать LetoCTF после пропуска вчерашнего дня не было.
"странно, что его решили спустя два часа после публикации",Платный😳😐,Ладно смысла решать LetoCTF после пропуска вчерашнего дня не было.,вдруг они сделают сложный таск
,,,"(сомневаюсь, пока все таски гораздо проще чем в том году)"
,,"(сомневаюсь, пока все таски гораздо проще чем в том году)","Ну да, я сначало обрадовался что сложный мб таск"
,,,"А потом код увидел
( Стоило вчера с телефона решать )"
,,,"что-то мне не нравится что тот таск у них назывался просто ""crypto"""
,,"что-то мне не нравится что тот таск у них назывался просто ""crypto""",название guesser нужно было оставить для следующих тасков
,,,Какой
,,,rsa с простым n
,,rsa с простым n,А)
,,,Ну мб будет crypto-insane
,,Ну мб будет crypto-insane,прошлый летоцтф пока что был куда сложнее
,Ну мб будет crypto-insane,прошлый летоцтф пока что был куда сложнее,"Впринципе разницы нет, так как поедет  Слава"
Ну мб будет crypto-insane,прошлый летоцтф пока что был куда сложнее,"Впринципе разницы нет, так как поедет  Слава","не факт
я этот таск сдал четвёртым"
,,,достаточно добавить немного стеги и всё
,,достаточно добавить немного стеги и всё,их если что забанят за шеринг
,достаточно добавить немного стеги и всё,их если что забанят за шеринг,Ты уверен?
достаточно добавить немного стеги и всё,их если что забанят за шеринг,Ты уверен?,"ну если что, их адрес школы известен ( вроде это та, которая напротив детдома, поэтому еще и адрес проживания известен)"
их если что забанят за шеринг,Ты уверен?,"ну если что, их адрес школы известен ( вроде это та, которая напротив детдома, поэтому еще и адрес проживания известен)","Конечно известен, вы из одного дурдома"
Ты уверен?,"ну если что, их адрес школы известен ( вроде это та, которая напротив детдома, поэтому еще и адрес проживания известен)","Конечно известен, вы из одного дурдома",
,,,"А в следующем году же слава не будет участвовать, правда?"
,,"А в следующем году же слава не будет участвовать, правда?",Будет
,,,Он будет вечно это делать
,,Он будет вечно это делать,нет
,,,"А если серьезно, если ты настолько сильно хочешь ехать - накопить за год реально"
,,"А если серьезно, если ты настолько сильно хочешь ехать - накопить за год реально","нет, мне пофиг, деньги я с угры если что вытащу"
,,,А сколько там?
,,А сколько там?,48к
,,,"достаточно лишь взломать сбербанк
получается сбербанка не хватит с учётом билетов"
,,"достаточно лишь взломать сбербанк
получается сбербанка не хватит с учётом билетов",Так у него мили s7
,"достаточно лишь взломать сбербанк
получается сбербанка не хватит с учётом билетов",Так у него мили s7,нет еще их
"достаточно лишь взломать сбербанк
получается сбербанка не хватит с учётом билетов",Так у него мили s7,нет еще их,дальше будет super guesser
,,,иннополис планирует проводить летнюю школу по иб...
,,иннополис планирует проводить летнюю школу по иб...,"мне интересно что будет на финтехе, если теперь его тоже курирует менад"
,,,(я по-прежнему забанен в чате)
,,(я по-прежнему забанен в чате),Я тоже
,(я по-прежнему забанен в чате),Я тоже,а ты за что
(я по-прежнему забанен в чате),Я тоже,а ты за что,я не знаю....
,,,а че так дешево
,,а че так дешево,Лучше летоцтф
,,,Нужно брать
,,Нужно брать,почему не миллион
,,,за встречу с менадом
,,за встречу с менадом,В трусах
,,,"(до краснодара и обратно тоже за свой счёт, конечно)"
,,"(до краснодара и обратно тоже за свой счёт, конечно)",А почему краснодар
,"(до краснодара и обратно тоже за свой счёт, конечно)",А почему краснодар,Потому что на черном море
,,,может менада запретили в иннополисе
,,может менада запретили в иннополисе,Это менад писал?
,,,красивое слово
,,красивое слово,Какое
,красивое слово,Какое,курирует
красивое слово,Какое,курирует,кури*т
,,,менад? это не фамилия?
,,менад? это не фамилия?,это призвание
,,,это когномен.
,,,"какие-то интересные темы лекций на сайте letoctf
Риски профессии пентестера
Кибероперация : цели, подходы, защита
Защита удаленного доступа с помощью «Континент TLS»
Cubersecurity specialist. Кто сейчас нужен России?
Жизнь после COVID 19, как не умереть от информационных вирусов?
Кто ты защитник информации?"
,,"какие-то интересные темы лекций на сайте letoctf
Риски профессии пентестера
Кибероперация : цели, подходы, защита
Защита удаленного доступа с помощью «Континент TLS»
Cubersecurity specialist. Кто сейчас нужен России?
Жизнь после COVID 19, как не умереть от информационных вирусов?
Кто ты защитник информации?",решил глянуть что такое континент tls
