context_3,context_2,context_1,response
,,,Всем привет!
,,Всем привет!,"27 человек из 100 справилось с проставлением ФИО в ник до захода в группу
Не может не радовать, однако."
,Всем привет!,"27 человек из 100 справилось с проставлением ФИО в ник до захода в группу
Не может не радовать, однако.","так нигде не было написано
я написал только потому что мне переслали сообщение где уже просят"
Всем привет!,"27 человек из 100 справилось с проставлением ФИО в ник до захода в группу
Не может не радовать, однако.","так нигде не было написано
я написал только потому что мне переслали сообщение где уже просят",Ну что же поделать. Я НТО это просил разослать.
,,,а опять фио надо будет держать всё время до конца финала?
,,а опять фио надо будет держать всё время до конца финала?,Верно
,,,это печально
,,,"А стикеры не запретите
?"
,,"А стикеры не запретите
?",Смотри правила чата.
,,,Теперь я спокоен
,,,"На всякий случай

Смена ника назад приведёт к удалению из чата)"
,,"На всякий случай

Смена ника назад приведёт к удалению из чата)",.
,,,(до окончания финала)
,,(до окончания финала),.
,,,Уффффф
,,,"Вообще, у меня есть скил давать бан на время. Могу запрещать стикеры отдельным людям и только на пару деньков"
,,"Вообще, у меня есть скил давать бан на время. Могу запрещать стикеры отдельным людям и только на пару деньков",А почему так жестоко
,"Вообще, у меня есть скил давать бан на время. Могу запрещать стикеры отдельным людям и только на пару деньков",А почему так жестоко,В смысле? Я милаш.
"Вообще, у меня есть скил давать бан на время. Могу запрещать стикеры отдельным людям и только на пару деньков",А почему так жестоко,В смысле? Я милаш.,Я бы сказал краш
А почему так жестоко,В смысле? Я милаш.,Я бы сказал краш,я бы сказал kernel panic
В смысле? Я милаш.,Я бы сказал краш,я бы сказал kernel panic,опа
,,,"Всё, на сегодня процесс закончен"
,,"Всё, на сегодня процесс закончен",(ಥ﹏ಥ)
,,,А теперь время банить
,,,больше финалистов не будет?
,,больше финалистов не будет?,На сегодня - да)
,,,На вас оттестил!
,,,Благодарю за ассист
,,Благодарю за ассист,Всегда готов помогать!
,,,А у этого скила кд есть?
,,А у этого скила кд есть?,"У двадцати финалистов фамилия начинается на ""К"", кстати. Не знаю зачем вам эта информация."
,,,Доделал
,,Доделал,💳
,,,Ещё нет
,,Ещё нет,хм
,,,Это всё премиум
,,Это всё премиум,"Ха-ха-ха-ха
Он реально ломает стикеры"
,,,"а где посмотреть список команд, которые будут на финале"
,,"а где посмотреть список команд, которые будут на финале",На финале
,,,"Интересно, а так?"
,,,"Яромир больше не пишет. Как думаете, это потому, что у меня получилось или он выжидает?"
,,"Яромир больше не пишет. Как думаете, это потому, что у меня получилось или он выжидает?",нто-2022 вайбс
,,,🤗
,,,"Да, похоже стикеры всё-таки придётся просто запретить."
,,"Да, похоже стикеры всё-таки придётся просто запретить.",
,,,Да просто сразу всех забанить
,,Да просто сразу всех забанить,Неееееееет
,Да просто сразу всех забанить,Неееееееет,"Яромир вроде не пишет потому, что не может."
,,,Кому жалко?
,,Кому жалко?,Мне
,,,Не мне.
,,Не мне.,Бедолага..
,Не мне.,Бедолага..,"Я знаю, что это булинг, но он сам писал, что рад помочь. Я только по этому."
,,,Получается админ нарушает правила🤔
,,Получается админ нарушает правила🤔,Как?
,Получается админ нарушает правила🤔,Как?,Забулили бедолагу((
,,,Он разве грустит?
,,Он разве грустит?,Не похоже
,Он разве грустит?,Не похоже,"Раз не пишет, значит не грустит"
,,,Админ веселится
,,,а финал реально в мифи?
,,а финал реально в мифи?,шутка
,,,Верно
,,Верно,ек макарек
,,,у нас уже 2 раза забрали сириус
